,Unnamed: 0,period_id,minute,second,outcome,start_x,start_y,end_x,end_y,type_name,FullName,Position,Team,start_frameID
0,0,1,0,0,True,52.5,34.0,31.82,32.1,Pass,Team_A_Player_10,Striker,Team_A,1104770
1,1,1,0,2,True,31.82,31.96,86.2,67.12,Pass,Team_A_Player_4,Defender,Team_A,1104820
2,2,1,0,8,True,14.6,-0.95,14.6,-0.95,Out,Team_B_Player_4,Defender,Team_B,1104990
3,3,1,0,8,False,90.4,68.95,90.4,68.95,Out,Team_A_Player_4,Defender,Team_A,1104989
4,4,1,0,20,True,17.22,0.0,30.87,21.08,Pass,Team_B_Player_4,Defender,Team_B,1105294
5,5,1,0,22,True,30.87,21.08,34.76,18.09,Pass,Team_B_Player_9,Striker,Team_B,1105336
6,6,1,0,25,True,59.01,48.96,55.54,44.68,Pass,Team_A_Player_6,Midfielder,Team_A,1105419
7,7,1,0,26,True,55.34,42.91,55.34,42.91,Ball recovery,Team_A_Player_2,Defender,Team_A,1105444
8,8,1,0,27,True,55.34,42.91,50.82,49.37,Pass,Team_A_Player_2,Defender,Team_A,1105447
9,9,1,0,27,True,56.28,49.16,41.26,45.42,Pass,Team_A_Player_7,Midfielder,Team_A,1105458
10,10,1,0,29,True,37.17,41.14,57.22,65.42,Pass,Team_A_Player_3,Defender,Team_A,1105495
11,11,1,0,32,True,57.12,65.42,62.9,57.39,Pass,Team_A_Player_1,Defender,Team_A,1105589
12,12,1,0,34,True,62.79,57.19,53.13,67.52,Pass,Team_A_Player_9,Striker,Team_A,1105620
13,13,1,0,35,True,53.66,67.52,40.11,60.52,Pass,Team_A_Player_1,Defender,Team_A,1105648
14,14,1,0,37,True,39.06,57.32,36.22,25.09,Pass,Team_A_Player_4,Defender,Team_A,1105695
15,15,1,0,41,True,36.33,29.24,40.32,49.98,Pass,Team_A_Player_3,Defender,Team_A,1105805
16,16,1,0,44,True,41.26,50.86,58.38,66.23,Pass,Team_A_Player_4,Defender,Team_A,1105870
17,17,1,0,47,True,51.34,63.38,33.49,37.33,Pass,Team_A_Player_1,Defender,Team_A,1105962
18,18,1,0,50,True,32.55,37.47,38.85,18.56,Pass,Team_A_Player_3,Defender,Team_A,1106037
19,19,1,0,57,True,59.74,11.15,73.08,1.97,Pass,Team_A_Player_7,Midfielder,Team_A,1106197
20,20,1,0,58,False,74.13,1.56,74.13,1.56,Take on,Team_A_Player_2,Defender,Team_A,1106239
21,21,1,0,58,True,30.87,66.44,30.87,66.44,Tackle,Team_B_Player_9,Striker,Team_B,1106241
22,22,1,0,59,False,31.08,68.54,31.08,68.54,Out,Team_B_Player_9,Striker,Team_B,1106255
23,23,1,0,59,True,73.92,-0.54,73.92,-0.54,Out,Team_A_Player_2,Defender,Team_A,1106245
24,24,1,1,4,True,71.4,0.0,90.82,19.04,Pass,Team_A_Player_2,Defender,Team_A,1106372
25,25,1,1,6,False,94.08,21.35,87.99,24.96,Pass,Team_A_Player_10,Striker,Team_A,1106430
26,26,1,1,15,True,55.34,66.23,64.78,59.64,Pass,Team_A_Player_4,Defender,Team_A,1106650
27,27,1,1,20,False,70.56,63.99,95.13,51.68,Pass,Team_A_Player_6,Midfielder,Team_A,1106770
28,28,1,1,24,False,5.46,0.68,5.46,0.68,Corner awarded,Team_B_Player_2,Defender,Team_B,1106870
29,29,1,1,24,True,99.54,67.32,99.54,67.32,Corner awarded,Team_A_Player_6,Midfielder,Team_A,1106870
30,30,1,1,55,False,104.58,67.66,101.22,32.98,Pass,Team_A_Player_8,Striker,Team_A,1107654
31,31,1,1,57,True,101.85,31.48,105.0,32.91,Goal,Team_A_Player_5,Midfielder,Team_A,1107701
32,32,1,2,47,True,52.5,33.93,39.8,36.31,Pass,Team_B_Player_10,Striker,Team_B,1108962
33,33,1,2,47,True,41.79,40.12,27.83,31.89,Pass,Team_B_Player_6,Midfielder,Team_B,1108969
34,34,1,2,50,True,29.51,21.56,35.6,6.05,Pass,Team_B_Player_2,Defender,Team_B,1109022
35,35,1,2,53,True,37.59,4.96,29.82,21.76,Pass,Team_B_Player_4,Defender,Team_B,1109098
